Task,Total Success,Total attempt,Success Rate,Task Duration (secs)
Reach,32,32,1.0,120
Reach with Obstacle,28,28,1.0,120
Dual Arm Reach,19,19,1.0,120
Dual Arm Reach with Obstacle,19,19,1.0,120
Needle Pick,13,15,0.8666666666666667,120
Needle Handover,6,9,0.6666666666666666,120
Peg Pick,23,23,1.0,120
Peg Transfer,19,19,1.0,120
Peg Board Pick and Place,4,5,0.8,120
Needle through Ring,3,5,0.6,120
TOTAL SESSION TIME,,,,1532.79
