Task,Total Success,Total attempt,Success Rate,Task Duration (secs)
Reach,25,25,1.0,120
Reach with Obstacle,20,20,1.0,120
Dual Arm Reach,15,15,1.0,120
Dual Arm Reach with Obstacle,13,13,1.0,120
Needle Pick,11,11,1.0,120
Needle Handover,10,11,0.9090909090909091,120
Peg Pick,16,16,1.0,120
Peg Transfer,16,17,0.9411764705882353,120
Peg Board Pick and Place,4,5,0.8,120
Needle through Ring,3,7,0.42857142857142855,120
TOTAL SESSION TIME,,,,1570.53
