Task,Total Success,Total attempt,Success Rate,Task Duration (secs)
Reach,26,26,1.0,120
Reach with Obstacle,20,20,1.0,120
Dual Arm Reach,27,27,1.0,120
Dual Arm Reach with Obstacle,13,13,1.0,120
Needle Pick,16,16,1.0,120
Needle Handover,6,10,0.6,120
Peg Pick,17,17,1.0,120
Peg Transfer,9,9,1.0,120
Peg Board Pick and Place,4,5,0.8,120
Needle through Ring,6,9,0.6666666666666666,120
TOTAL SESSION TIME,,,,1663.41
