Task,Total Success,Total attempt,Success Rate,Task Duration (secs)
Reach,41,41,1.0,120
Reach with Obstacle,39,39,1.0,120
Dual Arm Reach,33,33,1.0,120
Dual Arm Reach with Obstacle,32,33,0.9696969696969697,120
Needle Pick,21,25,0.84,120
Needle Handover,9,12,0.75,120
Peg Pick,29,29,1.0,120
Peg Transfer,25,25,1.0,120
Peg Board Pick and Place,6,6,1.0,120
Needle through Ring,4,6,0.6666666666666666,120
TOTAL SESSION TIME,,,,1829.67
