Task,Total Success,Total attempt,Success Rate,Task Duration (secs)
Reach,36,36,1.0,120
Reach with Obstacle,31,31,1.0,120
Dual Arm Reach,27,27,1.0,120
Dual Arm Reach with Obstacle,22,22,1.0,120
Needle Pick,20,21,0.9523809523809523,120
Needle Handover,10,14,0.7142857142857143,120
Peg Pick,24,24,1.0,120
Peg Transfer,22,22,1.0,120
Peg Board Pick and Place,4,5,0.8,120
Needle through Ring,2,4,0.5,120
TOTAL SESSION TIME,,,,1498.32
