Task,Total Success,Total attempt,Success Rate,Task Duration (secs)
Reach,24,24,1.0,120
Reach with Obstacle,27,27,1.0,120
Dual Arm Reach,24,24,1.0,120
Dual Arm Reach with Obstacle,13,13,1.0,120
Needle Pick,10,10,1.0,120
Needle Handover,5,6,0.8333333333333334,120
Peg Pick,16,16,1.0,120
Peg Transfer,10,11,0.9090909090909091,120
Peg Board Pick and Place,6,9,0.6666666666666666,120
Needle through Ring,4,7,0.5714285714285714,120
TOTAL SESSION TIME,,,,1764.18
