Task,Total Success,Total attempt,Success Rate,Task Duration (secs)
Reach,40,40,1.0,120
Reach with Obstacle,35,35,1.0,120
Dual Arm Reach,34,34,1.0,120
Dual Arm Reach with Obstacle,30,31,0.967741935483871,120
Needle Pick,14,16,0.875,120
Needle Handover,7,9,0.7777777777777778,120
Peg Pick,25,26,0.9615384615384616,120
Peg Transfer,19,19,1.0,120
Peg Board Pick and Place,4,5,0.8,120
Needle through Ring,1,3,0.3333333333333333,120
TOTAL SESSION TIME,,,,1465.59
