Task,Total Success,Total attempt,Success Rate,Task Duration (secs)
Reach,31,31,1.0,120
Reach with Obstacle,29,29,1.0,120
Dual Arm Reach,27,27,1.0,120
Dual Arm Reach with Obstacle,18,19,0.9473684210526315,120
Needle Pick,10,10,1.0,120
Needle Handover,7,12,0.5833333333333334,120
Peg Pick,33,33,1.0,120
Peg Transfer,11,12,0.9166666666666666,120
Needle through Ring,2,6,0.3333333333333333,120
Peg Board Pick and Place,3,3,1.0,120
TOTAL SESSION TIME,,,,1433.3 
