Task,Total Success,Total attempt,Success Rate,Task Duration (secs)
Reach,26,26,1.0,120
Reach with Obstacle,27,27,1.0,120
Dual Arm Reach,19,19,1.0,120
Dual Arm Reach with Obstacle,16,16,1.0,120
Needle Pick,12,12,1.0,120
Needle Handover,4,7,0.5714285714285714,120
Peg Pick,19,19,1.0,120
Peg Transfer,5,5,1.0,120
Peg Board Pick and Place,9,9,1.0,120
Peg Board Pick and Place,3,3,1.0,120
Needle through Ring,3,5,0.6,120
TOTAL SESSION TIME,,,,2059.84
